id, Ganhou
0, True
1, True
2, True
3, True
4, True
5, True
6, True
7, True
8, False
9, True
10, True
11, True
12, True
13, True
14, True
15, False
16, True
17, False
18, False
19, True
20, True
21, True
22, True
23, False
24, True
25, True
26, True
27, True
28, True
29, True
30, False
31, True
32, True
33, True
34, False
35, False
36, True
37, False
38, False
39, True
40, False
41, True
42, False
43, True
44, True
45, True
46, True
47, True
48, False
49, False
50, True
51, False
52, True
53, False
54, False
55, True
56, False
57, True
58, False
59, False
60, True
61, True
62, True
63, False
64, True
65, True
66, True
67, True
68, False
69, True
70, False
71, True
72, True
73, False
74, False
75, True
76, True
77, False
78, True
79, True
80, True
81, True
82, False
83, False
84, False
85, False
86, False
87, True
88, True
89, True
90, True
91, False
92, True
93, True
94, True
95, False
96, False
97, False
98, True
99, True
100, True
101, False
102, False
103, True
104, True
105, True
106, True
107, True
108, True
109, True
110, True
111, True
112, True
113, True
114, True
115, True
116, False
117, True
118, False
119, True
120, False
121, True
122, False
123, False
124, False
125, True
126, True
127, True
128, False
129, True
130, False
131, False
132, True
133, True
134, True
135, True
136, True
137, True
138, True
139, True
140, False
141, True
142, True
143, False
144, True
145, True
146, True
147, True
148, False
149, True
150, False
151, True
152, True
153, True
154, False
155, True
156, True
157, True
158, True
159, True
160, False
161, False
162, True
163, True
164, True
165, False
166, True
167, True
168, True
169, True
170, True
171, True
172, False
173, True
174, False
175, True
176, True
177, True
178, True
179, False
180, True
181, True
182, True
183, True
184, True
185, True
186, True
187, True
188, True
189, False
190, True
191, True
192, True
193, True
194, True
195, False
196, False
197, True
198, True
199, False
200, False
201, False
202, True
203, True
204, True
205, False
206, True
207, True
208, False
209, False
210, True
211, False
212, True
213, True
214, False
215, False
216, True
217, True
218, True
219, True
220, True
221, True
222, True
223, False
224, True
225, True
226, False
227, True
228, False
229, True
230, True
231, False
232, False
233, False
234, True
235, True
236, True
237, False
238, True
239, False
240, True
241, False
242, False
243, True
244, True
245, True
246, False
247, False
248, True
249, True
250, False
251, True
252, False
253, False
254, False
255, True
256, True
257, False
258, True
259, True
260, True
261, True
262, False
263, True
264, False
265, False
266, True
267, True
268, False
269, False
270, True
271, True
272, True
273, False
274, True
275, True
276, True
277, True
278, True
279, True
280, False
281, False
282, True
283, True
284, True
285, True
286, True
287, True
288, False
289, False
290, True
291, False
292, False
293, True
294, True
295, False
296, True
297, False
298, True
299, True
300, True
301, True
302, True
303, False
304, True
305, True
306, True
307, True
308, True
309, False
310, True
311, True
312, False
313, True
314, True
315, True
316, True
317, True
318, True
319, True
320, True
321, True
322, True
323, True
324, True
325, True
326, True
327, True
328, False
329, True
330, True
331, True
332, False
333, True
334, True
335, True
336, True
337, True
338, False
339, True
340, True
341, True
342, True
343, True
344, True
345, True
346, True
347, False
348, False
349, True
350, True
351, False
352, False
353, False
354, True
355, True
356, False
357, True
358, True
359, True
360, True
361, True
362, True
363, True
364, False
365, True
366, True
367, True
368, False
369, True
370, True
371, False
372, True
373, False
374, True
375, True
376, True
377, True
378, True
379, False
380, True
381, True
382, True
383, True
384, True
385, False
386, True
387, True
388, True
389, True
390, True
391, True
392, True
393, False
394, True
395, True
396, True
397, True
398, True
399, False
400, True
401, False
402, True
403, False
404, False
405, False
406, True
407, False
408, True
409, True
410, False
411, True
412, True
413, True
414, True
415, False
416, True
417, True
418, True
419, True
420, False
421, True
422, True
423, True
424, False
425, False
426, False
427, False
428, True
429, True
430, True
431, True
432, True
433, False
434, True
435, False
436, False
437, False
438, True
439, True
440, False
441, False
442, True
443, True
444, True
445, False
446, True
447, False
448, True
449, True
450, False
451, True
452, False
453, True
454, True
455, True
456, True
457, True
458, True
459, False
460, False
461, True
462, False
463, False
464, True
465, True
466, True
467, True
468, True
469, True
470, False
471, True
472, False
473, False
474, True
475, True
476, False
477, False
478, False
479, True
480, True
481, True
482, True
483, True
484, True
485, False
486, False
487, False
488, True
489, True
490, False
491, False
492, True
493, True
494, True
495, True
496, False
497, False
498, False
499, True
500, True
501, True
502, True
503, True
504, False
505, True
506, True
507, True
508, True
509, False
510, True
511, True
512, True
513, True
514, False
515, False
516, False
517, True
518, True
519, False
520, False
521, True
522, False
523, False
524, True
525, True
526, True
527, False
528, True
529, False
530, False
531, True
532, True
533, False
534, True
535, True
536, True
537, True
538, True
539, True
540, True
541, False
542, True
543, True
544, True
545, True
546, False
547, True
548, True
549, True
550, False
551, True
552, False
553, True
554, True
555, True
556, False
557, True
558, True
559, True
560, False
561, False
562, False
563, True
564, False
565, True
566, True
567, False
568, True
569, True
570, False
571, False
572, True
573, False
574, True
575, False
576, True
577, True
578, True
579, False
580, False
581, True
582, False
583, False
584, False
585, False
586, True
587, False
588, False
589, True
590, True
591, True
592, True
593, True
594, False
595, False
596, True
